,restaurant_names
86,Fortune House
87,Christopher’s Golden Woks
88,Chong Qing Xiao Mian
89,South Of The Clouds
90,Dimmer & Summer
96,China River 川聚院
98,Dun Huang - Grand Central
100,Pinch Chinese
101,Ho May Kitchen
106,Dragon King
112,King Wok
113,Hop Lee Kitchen
115,Spicy Moon East Village
119,Tim Ho Wan - Hell’s Kitchen
120,So Do Fun
121,Oriental Garden
126,Chung Chun Kitchen
128,House of Joy
132,C And Y Chinese
133,Peking Garden
136,Shanghai Lee
141,Weng Garden
144,YASO
146,New Golden Fountain
148,Tasty Hand Pulled Noodles II
150,Baodega
158,Ming Wong Restaurant
159,Shanghai Mong
162,No. 1 Chinese Restaurant
163,Oriental Palace Kitchen
164,Panda
165,Number 8 Chinese Restaurant
166,ZLS BBQ
168,Suzume
171,Dumpling House
175,A & C Kitchen
176,Spice Symphony
177,Lilli & Loo
179,China Wok
180,Hey Yuet
186,Macao Trading Company
189,China King
190,Bings & Noodles
191,Lucky Chen Chinese Restaraunts
192,Chef Tan Newport 蜀湘门第
193,Great China
197,No Pork Halal Kitchen
200,Dunhuang Beef Noodle - Elmhurst
202,Jumbo Chinese Kitchen
206,Lucky Zhang 888
211,Mala House
213,Steam - Shanghai Asian Fusion
214,Shu Han Ju
215,U Like
216,Old Xi’an
217,New Moon
219,Hop Sing
223,Ho Wah Chinese Restaurant
224,Dim Sum Sam
226,Mazu Szechuan
227,Noodle Fun
228,Kung Fu Kitchen
229,Good Taste Restaurant
230,Philippe Downtown
232,Duckedup
236,Dragon And Phoenix
239,Good Tasty Too Chinese Restaurant
240,King’s Kitchen
241,Tipsy Shanghai
242,Cheung Hing Kitchen
244,Da Long Yi Hot Pot
245,New De Xing Chinese Restaurant
249,New Chinatown Restaurant of New York
250,The Handpulled Noodle
255,YunShang Rice Noodle House
256,King Dragon
257,Wu’s Wonton King
258,Golden Gate Restaurant
262,Tim Ho Wan
264,No.1 China Garden
267,Hunan Village
276,Grace Chinese Food II
278,Shun Lee - 98th ST
279,Joe’s Steam Rice Roll
280,The Best Sichuan
281,Dimsum Garden
282,The Rice Noodle
283,New Sunrise Chinese Restaurant
284,Mr Chow
289,Wing Hing Chinese Restaurant
290,Emperor Dumpling
293,Great NY Noodle Town
294,No 1 Chinese Restaurant
295,Lotus Express
296,Yi Ji Shi Mo Noodle Corp
297,Uncle Ted’s
301,Pig Heaven
302,Happy Wok Chinese Restaurant
303,Milu
305,Golden House Restaurant
307,Jade Garden
309,Great Wall
310,East Season Restaurant
